ID,title,isbn,price_code,createdAt,createdBy,modifiedAt,modifiedBy
001,The Great Adventure,1234567,PC1,2025-01-01,Alice Smith,2025-02-01,Bob Johnson
002,Mystery of the Lake,0987654,PC2,2025-01-02,Carol White,2025-02-02,Dave Brown
003,Journey to the Stars,1122334,PC3,2025-01-03,Eve Davis,2025-02-03,Frank Wilson
004,Secrets of the Forest,6677889,PC4,2025-01-04,Grace Martinez,2025-02-04,Henry Taylor
005,Legends of the Sea,4455667,PC5,2025-01-05,Irene Anderson,2025-02-05,Jack Thomas
006,Tales of the Desert,2233446,PC6,2025-01-06,Karen Lee,2025-02-06,Laura Harris
007,Wonders of the World,3356677,PC7,2025-01-07,Mike Clark,2025-02-07,Nancy Lewis
008,Chronicles of Time,5778899,PC8,2025-01-08,Olivia Scott,2025-02-08,Peter Walker
009,Myths and Legends,7990011,PC9,2025-01-09,Quinn Hall,2025-02-09,Rachel Young
010,History Unveiled,9912233,P10,2025-01-10,Sam King,2025-02-10,Tina Wright
